WaveformIndex,Peak,Valley,PeakToPeak,Baseline,PeakHeight
0,0.38593,-0.0361809,0.4221109,-0.01809045,0.40402045
1,0.168844,-0.0241206,0.1929646,-0.0120603,0.1809043
2,0.144724,-0.0241206,0.16884459999999998,-0.00603015,0.15075415
3,0.313568,-0.0361809,0.34974890000000003,-0.01809045,0.33165845
4,0.337688,-0.0361809,0.3738689,-0.01809045,0.35577844999999997
5,0.747739,-0.0241206,0.7718596000000001,-0.0120603,0.7597993000000001
6,0.904523,-0.0361809,0.9407038999999999,-0.01809045,0.92261345
7,0.590955,-0.0241206,0.6150756000000001,-0.0120603,0.6030153
8,0.458291,-0.0241206,0.4824116,-0.0120603,0.4703513
9,0.590955,-0.0361809,0.6271359,-0.01809045,0.60904545
10,0.120603,-0.0361809,0.1567839,-0.01809045,0.13869345
11,0.759799,-0.0241206,0.7839196,-0.0120603,0.7718593
12,0.603015,-0.0241206,0.6271356,-0.0120603,0.6150753
13,0.8201,-0.0361809,0.8562809,-0.01809045,0.83819045
14,0.482412,-0.0241206,0.5065326,-0.0120603,0.49447230000000003
15,0.41005,-0.0361809,0.44623090000000004,-0.01809045,0.42814045
16,0.289447,-0.0361809,0.3256279,-0.01809045,0.30753745
17,0.265327,-0.0361809,0.3015079,-0.01809045,0.28341744999999996
18,0.205025,-0.0361809,0.24120590000000003,-0.01809045,0.22311545000000002
19,0.265327,-0.0361809,0.3015079,-0.01809045,0.28341744999999996
20,0.530653,-0.0361809,0.5668339,-0.0241206,0.5547736000000001
21,0.132663,-0.0361809,0.1688439,-0.01809045,0.15075345
22,0.434171,-0.0241206,0.45829159999999997,-0.0120603,0.4462313
23,1.01307,-0.0361809,1.0492508999999999,-0.0241206,1.0371906
24,0.530653,-0.0482412,0.5788942,-0.0241206,0.5547736000000001
25,0.771859,-0.0361809,0.8080398999999999,-0.01809045,0.7899494499999999
26,0.108543,-0.0361809,0.14472390000000002,-0.01809045,0.12663345
27,0.41005,-0.0241206,0.4341706,-0.0120603,0.42211030000000005
28,0.337688,-0.0361809,0.3738689,-0.01809045,0.35577844999999997
29,0.904523,-0.0361809,0.9407038999999999,-0.01809045,0.92261345
30,0.79598,-0.0361809,0.8321609,-0.01809045,0.81407045
31,0.265327,-0.0361809,0.3015079,-0.01809045,0.28341744999999996
32,0.313568,-0.0482412,0.3618092,-0.030150749999999997,0.34371875
33,0.928643,-0.0361809,0.9648239,-0.01809045,0.94673345
34,0.723618,-0.0361809,0.7597988999999999,-0.01809045,0.74170845
35,0.735678,-0.0361809,0.7718589,-0.01809045,0.75376845
36,0.120603,-0.0361809,0.1567839,-0.01809045,0.13869345
37,0.554774,-0.0361809,0.5909549,-0.01809045,0.57286445
38,1.02513,-0.0361809,1.0613109,-0.01809045,1.0432204500000002
39,0.904523,-0.0361809,0.9407038999999999,-0.01809045,0.92261345
40,0.156784,-0.0361809,0.1929649,-0.01809045,0.17487445000000001
41,0.120603,-0.0361809,0.1567839,-0.01809045,0.13869345
42,0.277387,-0.0361809,0.3135679,-0.01809045,0.29547745
43,0.373869,-0.0361809,0.4100499,-0.01809045,0.39195945
44,0.470352,-0.0361809,0.5065329,-0.01809045,0.48844245
45,0.590955,-0.0482412,0.6391962,-0.030150749999999997,0.62110575
46,0.241206,-0.0241206,0.2653266,-0.0120603,0.2532663
47,0.590955,-0.0361809,0.6271359,-0.01809045,0.60904545
48,0.337688,-0.0361809,0.3738689,-0.01809045,0.35577844999999997
49,0.192965,-0.0361809,0.2291459,-0.01809045,0.21105545
50,0.422111,-0.0361809,0.45829190000000003,-0.01809045,0.44020145
51,0.590955,-0.0361809,0.6271359,-0.0241206,0.6150756000000001
52,0.168844,-0.0361809,0.2050249,-0.01809045,0.18693445
53,0.699497,-0.0361809,0.7356779,-0.01809045,0.71758745
54,0.144724,-0.0361809,0.18090489999999998,-0.01809045,0.16281445
55,0.265327,-0.0361809,0.3015079,-0.01809045,0.28341744999999996
56,0.832161,-0.0361809,0.8683419,-0.01809045,0.85025145
57,0.265327,-0.0361809,0.3015079,-0.01809045,0.28341744999999996
58,0.747739,-0.0361809,0.7839199,-0.01809045,0.76582945
59,0.627136,-0.0361809,0.6633169,-0.0241206,0.6512566000000001
60,0.759799,-0.0241206,0.7839196,-0.0120603,0.7718593
61,0.144724,-0.0361809,0.18090489999999998,-0.01809045,0.16281445
62,1.03719,-0.0361809,1.0733709,-0.01809045,1.0552804500000001
63,0.325628,-0.0241206,0.34974859999999997,-0.00603015,0.33165815
64,0.313568,-0.0361809,0.34974890000000003,-0.01809045,0.33165845
65,0.566834,-0.0361809,0.6030148999999999,-0.01809045,0.5849244499999999
66,0.964824,-0.0361809,1.0010049,-0.01809045,0.98291445
67,0.856281,-0.0361809,0.8924618999999999,-0.01809045,0.8743714499999999
68,0.627136,-0.0361809,0.6633169,-0.0241206,0.6512566000000001
69,0.241206,-0.0361809,0.2773869,-0.01809045,0.25929645
70,0.301508,-0.0361809,0.3376889,-0.0241206,0.3256286
71,0.192965,-0.0361809,0.2291459,-0.01809045,0.21105545
72,0.156784,-0.0361809,0.1929649,-0.01809045,0.17487445000000001
73,0.120603,-0.0361809,0.1567839,-0.01809045,0.13869345
74,0.79598,-0.0361809,0.8321609,-0.01809045,0.81407045
75,0.180905,-0.0361809,0.2170859,-0.01809045,0.19899545000000002
76,0.120603,-0.0482412,0.1688442,-0.0241206,0.1447236
77,0.205025,-0.0361809,0.24120590000000003,-0.0241206,0.2291456
78,0.205025,-0.0361809,0.24120590000000003,-0.01809045,0.22311545000000002
79,0.590955,-0.0361809,0.6271359,-0.0241206,0.6150756000000001
80,0.988945,-0.0361809,1.0251259,-0.01809045,1.00703545
81,0.422111,-0.0361809,0.45829190000000003,-0.01809045,0.44020145
82,0.192965,-0.0361809,0.2291459,-0.01809045,0.21105545
83,0.120603,-0.0361809,0.1567839,-0.01809045,0.13869345
84,0.422111,-0.0361809,0.45829190000000003,-0.0241206,0.4462316
85,0.446231,-0.0361809,0.4824119,-0.01809045,0.46432144999999997
86,0.988945,-0.0361809,1.0251259,-0.0241206,1.0130656
87,0.880402,-0.0241206,0.9045226000000001,-0.0120603,0.8924623
88,0.337688,-0.0361809,0.3738689,-0.01809045,0.35577844999999997
89,0.120603,-0.0361809,0.1567839,-0.01809045,0.13869345
90,0.313568,-0.0361809,0.34974890000000003,-0.01809045,0.33165845
91,0.301508,-0.0361809,0.3376889,-0.0241206,0.3256286
92,0.337688,-0.0361809,0.3738689,-0.01809045,0.35577844999999997
93,0.180905,-0.0241206,0.2050256,-0.0120603,0.1929653
94,0.663317,-0.0361809,0.6994979,-0.0241206,0.6874376000000001
95,0.446231,-0.0361809,0.4824119,-0.01809045,0.46432144999999997
96,0.289447,-0.0361809,0.3256279,-0.01809045,0.30753745
97,0.180905,-0.0361809,0.2170859,-0.01809045,0.19899545000000002
98,0.132663,-0.0361809,0.1688439,-0.01809045,0.15075345
99,0.494472,-0.0361809,0.5306529,-0.01809045,0.51256245
